        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS     K/pi_toGCE    Xi/pi_toGCE   phi/pi_toGCE     p/pi_toGCE Omega/pi_toGCE    La/pi_toGCE
        971.096       0.158116        2330.63        2330.63              1       0.998594       0.993277        1.00023        1.00015       0.984719       0.998264
        1037.02       0.157945        2488.85        2488.85              1       0.998675       0.993665        1.00022        1.00014       0.985597       0.998364
        1107.42       0.157775         2657.8         2657.8              1       0.998751       0.994032         1.0002        1.00013        0.98643        0.99846
        1182.59       0.157604        2838.22        2838.22              1       0.998824       0.994381        1.00019        1.00012        0.98722        0.99855
        1262.87       0.157433         3030.9         3030.9              1       0.998892        0.99471        1.00018        1.00012       0.987966       0.998635
         1348.6       0.157262        3236.65        3236.65              1       0.998956       0.995019        1.00017        1.00011       0.988668       0.998715
        1440.15       0.157091        3456.36        3456.36              1       0.999017       0.995309        1.00016         1.0001       0.989325        0.99879
        1537.92       0.156921           3691           3691              1       0.999073       0.995579        1.00015         1.0001       0.989938        0.99886
        1642.32        0.15675        3941.56        3941.56              1       0.999125       0.995829        1.00014        1.00009       0.990506       0.998925
        1753.81       0.156579        4209.13        4209.13              1       0.999173        0.99606        1.00013        1.00009        0.99103       0.998984
        1872.86       0.156408        4494.87        4494.87              1       0.999217       0.996272        1.00012        1.00008       0.991512       0.999039
           2000       0.156238           4800           4800              1       0.999258       0.996466        1.00012        1.00008       0.991953       0.999089
