        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS          K+/pi          Xi/pi         phi/pi           p/pi       Omega/pi      Lambda/pi
        18.8713       0.168362        45.2912        45.2912       0.818436       0.144735     0.00369232      0.0187231       0.073068     0.00038773      0.0333627
        20.1524       0.168191        48.3658        48.3658       0.822336       0.145941     0.00378904      0.0188451      0.0727982    0.000408872      0.0335735
        21.5204       0.168021        51.6491        51.6491       0.826408       0.147132     0.00388398       0.018975      0.0725292    0.000430185      0.0337771
        22.9813        0.16785        55.1552        55.1552       0.830654       0.148311     0.00397726      0.0191127      0.0722608    0.000451641      0.0339746
        24.5414       0.167679        58.8994        58.8994       0.835073       0.149483     0.00406904      0.0192584      0.0719929    0.000473217      0.0341669
        26.2074       0.167508        62.8978        62.8978       0.839665       0.150649     0.00415944       0.019412      0.0717254    0.000494895      0.0343546
        27.9865       0.167338        67.1676        67.1676       0.844427       0.151812     0.00424858      0.0195734      0.0714582     0.00051666      0.0345383
        29.8863       0.167167        71.7272        71.7272       0.849357       0.152973     0.00433659      0.0197424      0.0711911    0.000538496      0.0347186
        31.9152       0.166996        76.5964        76.5964       0.854449       0.154133     0.00442353      0.0199189      0.0709242     0.00056039      0.0348957
        34.0817       0.166825        81.7961        81.7961       0.859697       0.155294     0.00450949      0.0201026      0.0706574    0.000582328        0.03507
        36.3953       0.166654        87.3488        87.3488       0.865092       0.156456      0.0045945      0.0202933      0.0703908    0.000604295      0.0352415
         38.866       0.166484        93.2785        93.2785       0.870625       0.157618     0.00467858      0.0204905      0.0701243    0.000626273      0.0354103
        41.5044       0.166313        99.6106        99.6106       0.876283        0.15878     0.00476172      0.0206937      0.0698581    0.000648238      0.0355762
        44.3219       0.166142        106.373        106.373       0.882052        0.15994     0.00484388      0.0209024      0.0695921    0.000670165      0.0357392
        47.3307       0.165971        113.594        113.594       0.887916       0.161098       0.004925      0.0211159      0.0693266    0.000692021      0.0358989
        50.5438       0.165801        121.305        121.305       0.893857       0.162252     0.00500495      0.0213334      0.0690615    0.000713768      0.0360549
        53.9749        0.16563         129.54         129.54       0.899854       0.163398     0.00508363      0.0215541      0.0687972     0.00073536      0.0362069
         57.639       0.165459        138.334        138.334       0.905884       0.164535     0.00516086      0.0217769      0.0685336    0.000756744      0.0363542
        61.5518       0.165288        147.724        147.724       0.911923        0.16566     0.00523645      0.0220009       0.068271    0.000777862      0.0364963
        65.7302       0.165118        157.752        157.752       0.917945       0.166768     0.00531018      0.0222248      0.0680096    0.000798644      0.0366324
        70.1922       0.164947        168.461        168.461       0.923922       0.167857     0.00538181      0.0224475      0.0677496    0.000819019      0.0367618
        74.9572       0.164776        179.897        179.897       0.929824       0.168922     0.00545108      0.0226675      0.0674912    0.000838905      0.0368839
        80.0457       0.164605         192.11         192.11       0.935623        0.16996      0.0055177      0.0228836      0.0672345    0.000858217      0.0369976
        85.4795       0.164434        205.151        205.151       0.941287       0.170966     0.00558139      0.0230943      0.0669799    0.000876867      0.0371024
        91.2823       0.164264        219.077        219.077       0.946787       0.171936     0.00564185      0.0232983      0.0667275    0.000894763      0.0371972
        97.4789       0.164093        233.949        233.949       0.952092       0.172866      0.0056988       0.023494      0.0664775    0.000911815      0.0372815
        104.096       0.163922        249.831        249.831       0.957175       0.173752     0.00575196      0.0236803      0.0662301    0.000927933      0.0373545
        111.163       0.163751        266.791        266.791       0.962009        0.17459     0.00580106      0.0238558      0.0659855    0.000943034      0.0374155
        118.709       0.163581        284.902        284.902        0.96657       0.175378     0.00584589      0.0240193      0.0657438    0.000957041      0.0374639
        126.768        0.16341        304.242        304.242       0.970838       0.176112     0.00588625      0.0241699      0.0655052    0.000969888      0.0374994
        135.373       0.163239        324.895        324.895       0.974796        0.17679       0.005922      0.0243067      0.0652697    0.000981521      0.0375217
        144.563       0.163068        346.951        346.951       0.978431       0.177411     0.00595303      0.0244291      0.0650373    0.000991898      0.0375305
        154.376       0.162898        370.504        370.504       0.981736       0.177974     0.00597931      0.0245366      0.0648081       0.001001      0.0375258
        164.856       0.162727        395.655        395.655       0.984709        0.17848     0.00600086      0.0246291      0.0645819     0.00100881      0.0375079
        176.047       0.162556        422.514        422.514       0.987351       0.178927     0.00601776      0.0247066      0.0643589     0.00101535       0.037477
        187.998       0.162385        451.196        451.196        0.98967       0.179319     0.00603015      0.0247695      0.0641387     0.00102065      0.0374336
        200.761       0.162215        481.825        481.825       0.991679       0.179658     0.00603823      0.0248182      0.0639214     0.00102476      0.0373783
        214.389       0.162044        514.534        514.534       0.993396       0.179946     0.00604225      0.0248536      0.0637066     0.00102772      0.0373118
        228.943       0.161873        549.463        549.463       0.994839       0.180187     0.00604249      0.0248764      0.0634942     0.00102963      0.0372351
        244.485       0.161702        586.763        586.763       0.996034       0.180385     0.00603928      0.0248879      0.0632839     0.00103057       0.037149
        261.081       0.161531        626.595        626.595       0.997007       0.180544     0.00603296      0.0248892      0.0630755     0.00103062      0.0370546
        278.805       0.161361        669.131        669.131       0.997783       0.180668     0.00602389      0.0248815      0.0628687     0.00102989      0.0369528
        297.731        0.16119        714.555        714.555       0.998392       0.180763     0.00601242      0.0248659      0.0626634     0.00102847      0.0368447
        317.943       0.161019        763.062        763.062       0.998858       0.180833     0.00599889      0.0248439      0.0624592     0.00102645      0.0367312
        339.526       0.160848        814.862        814.862       0.999208       0.180881     0.00598362      0.0248164       0.062256     0.00102392      0.0366131
        362.575       0.160678        870.179        870.179       0.999464       0.180911      0.0059669      0.0247845      0.0620535     0.00102097      0.0364914
        387.188       0.160507        929.251        929.251       0.999647       0.180927     0.00594898      0.0247492      0.0618516     0.00101766      0.0363667
        413.472       0.160336        992.333        992.333       0.999774       0.180932     0.00593009      0.0247111      0.0616502     0.00101405      0.0362396
         441.54       0.160165         1059.7         1059.7       0.999859       0.180927     0.00591042      0.0246711       0.061449     0.00101021      0.0361107
        471.514       0.159995        1131.63        1131.63       0.999915       0.180915     0.00589011      0.0246295      0.0612481     0.00100616      0.0359803
        503.523       0.159824        1208.45        1208.45       0.999951       0.180898     0.00586928      0.0245868      0.0610473     0.00100194      0.0358488
        537.704       0.159653        1290.49        1290.49       0.999972       0.180876     0.00584804      0.0245433      0.0608466    0.000997595      0.0357164
        574.206       0.159482        1378.09        1378.09       0.999985        0.18085     0.00582645      0.0244992       0.060646    0.000993129      0.0355834
        613.186       0.159311        1471.65        1471.65       0.999992       0.180822     0.00580456      0.0244547      0.0604453    0.000988565      0.0354497
        654.812       0.159141        1571.55        1571.55       0.999996       0.180791     0.00578242      0.0244098      0.0602447    0.000983916      0.0353157
        699.263        0.15897        1678.23        1678.23       0.999998       0.180758     0.00576007      0.0243647       0.060044    0.000979193      0.0351812
        746.732       0.158799        1792.16        1792.16       0.999999       0.180723     0.00573752      0.0243193      0.0598433    0.000974404      0.0350464
        797.424       0.158628        1913.82        1913.82              1       0.180686      0.0057148      0.0242736      0.0596426    0.000969557      0.0349113
        851.557       0.158458        2043.74        2043.74              1       0.180647     0.00569192      0.0242278      0.0594419    0.000964658       0.034776
        909.365       0.158287        2182.47        2182.47              1       0.180606      0.0056689      0.0241817      0.0592411    0.000959711      0.0346404
        971.096       0.158116        2330.63        2330.63              1       0.180564     0.00564574      0.0241354      0.0590403     0.00095472      0.0345046
        1037.02       0.157945        2488.85        2488.85              1        0.18052     0.00562246      0.0240889      0.0588394    0.000949688      0.0343686
        1107.42       0.157775         2657.8         2657.8              1       0.180475     0.00559905      0.0240421      0.0586386    0.000944617      0.0342324
        1182.59       0.157604        2838.22        2838.22              1       0.180428     0.00557552      0.0239952      0.0584377    0.000939508       0.034096
        1262.87       0.157433         3030.9         3030.9              1        0.18038     0.00555188       0.023948      0.0582367    0.000934363      0.0339594
         1348.6       0.157262        3236.65        3236.65              1        0.18033     0.00552812      0.0239006      0.0580357    0.000929182      0.0338227
        1440.15       0.157091        3456.36        3456.36              1       0.180278     0.00550425      0.0238531      0.0578347    0.000923964      0.0336857
        1537.92       0.156921           3691           3691              1       0.180225     0.00548026      0.0238052      0.0576337    0.000918713      0.0335486
        1642.32        0.15675        3941.56        3941.56              1        0.18017     0.00545616      0.0237572      0.0574327    0.000913427      0.0334113
        1753.81       0.156579        4209.13        4209.13              1       0.180114     0.00543195       0.023709      0.0572316    0.000908109      0.0332739
        1872.86       0.156408        4494.87        4494.87              1       0.180056     0.00540765      0.0236605      0.0570305    0.000902761      0.0331363
           2000       0.156238           4800           4800              1       0.179996     0.00538325      0.0236118      0.0568294    0.000897386      0.0329986
