        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS          K+/pi          Xi/pi         phi/pi           p/pi       Omega/pi      Lambda/pi
        909.365       0.158287        2182.47        2182.47              1       0.180876     0.00570961      0.0241757      0.0592317    0.000975519      0.0347043
        971.096       0.158116        2330.63        2330.63              1       0.180818     0.00568396      0.0241298      0.0590315    0.000969536      0.0345646
        1037.02       0.157945        2488.85        2488.85              1        0.18076     0.00565831      0.0240836      0.0588312    0.000963566      0.0344249
        1107.42       0.157775         2657.8         2657.8              1       0.180701     0.00563266      0.0240372      0.0586308    0.000957611      0.0342852
        1182.59       0.157604        2838.22        2838.22              1       0.180641     0.00560703      0.0239906      0.0584304     0.00095167      0.0341455
        1262.87       0.157433         3030.9         3030.9              1        0.18058     0.00558141      0.0239437        0.05823    0.000945744      0.0340058
         1348.6       0.157262        3236.65        3236.65              1       0.180518     0.00555579      0.0238966      0.0580294    0.000939832      0.0338662
        1440.15       0.157091        3456.36        3456.36              1       0.180456     0.00553019      0.0238493      0.0578288    0.000933934      0.0337265
        1537.92       0.156921           3691           3691              1       0.180392     0.00550459      0.0238017      0.0576282    0.000928051      0.0335869
        1642.32        0.15675        3941.56        3941.56              1       0.180328     0.00547901      0.0237539      0.0574275    0.000922182      0.0334473
        1753.81       0.156579        4209.13        4209.13              1       0.180263     0.00545344      0.0237059      0.0572267    0.000916329      0.0333077
        1872.86       0.156408        4494.87        4494.87              1       0.180197     0.00542788      0.0236576      0.0570259     0.00091049      0.0331682
           2000       0.156238           4800           4800              1        0.18013     0.00540234      0.0236091      0.0568251    0.000904666      0.0330287
